PV Yield (kWh),Amount of PV panel,WATT,Temperature(°F),Humidity (%),Wind Speed (mph),Pressure (in),Hours,where
25.36,24.00,500.00,79.5,57.3,5.1,29.8,12.41,0
22.52,24.00,500.00,79.4,62.2,4.2,29.8,12.41,0
25.59,24.00,500.00,80.2,59.6,6.6,29.8,12.41,0
25.17,24.00,500.00,78.3,58.4,8.8,29.9,12.40,0
25.58,24.00,500.00,77,59.2,8.6,30,12.41,0
24.34,24.00,500.00,77.1,56.8,6.5,30,12.40,0
25.15,24.00,500.00,78,57.1,4.7,30,12.41,0
25.71,24.00,500.00,79.2,57.5,4.8,30,12.40,0
25.59,24.00,500.00,79.8,55.6,4.6,30,12.41,0
26.51,24.00,500.00,79.3,60.2,8.1,30,12.40,0
24.06,24.00,500.00,77.5,60.5,8.2,30,12.40,0
71.48,48.00,550.00,86.5,57.8,5.6,29.9,12.40,0
88.75,48.00,550.00,86.2,58,5,29.9,12.40,0
84.48,48.00,550.00,86.5,48.3,6.5,29.9,12.39,0
78.03,48.00,550.00,84,57.1,7.8,29.9,12.40,0
80.35,48.00,550.00,84.5,57.1,7,29.9,12.39,0
73.62,48.00,550.00,84.5,54.9,6.9,29.9,12.38,0
83.12,48.00,550.00,84.5,55.5,6.7,29.9,12.39,0
79.9,48.00,550.00,84.8,54.9,5.8,29.9,12.38,0
56.85,48.00,550.00,85,63.8,3.6,29.9,12.38,0
85.05,48.00,550.00,85.3,64.9,5.8,29.8,12.38,0
67.08,48.00,550.00,85.4,69.2,5.5,29.9,12.38,0
65.62,48.00,550.00,85.4,68.2,6.9,29.8,12.37,0
74.77,48.00,550.00,85.3,68.3,6.8,29.9,12.36,0
72.57,48.00,550.00,85,63.2,6.5,29.9,12.37,0
89.98,48.00,550.00,83.5,55.6,7.4,29.9,12.36,0
70.52,48.00,550.00,83.5,56.5,7.2,29.9,12.36,0
76.2,48.00,550.00,83.4,57.1,7.4,29.9,12.35,0
77.72,48.00,550.00,84.4,53.7,5.5,29.9,12.35,0
78.42,48.00,550.00,85.8,54.7,4.2,29.8,12.34,0
65.98,48.00,550.00,84.9,61.8,5.8,29.9,12.34,0
49.43,48.00,550.00,85.7,63.2,6.3,29.9,12.33,0
74.22,48.00,550.00,85.6,59.9,4.2,29.9,12.32,0
48.45,48.00,550.00,84,66,6.7,29.9,12.32,0
52.91,48.00,550.00,80.3,55.6,9.2,30,12.31,0
54.07,48.00,550.00,79.4,58.3,9.7,30,12.31,0
72.11,48.00,550.00,80.5,55.7,8.2,30,12.30,0
76.32,48.00,550.00,83.1,55.9,7.8,30,12.30,0
63.28,48.00,550.00,83.8,55.8,8,30,12.30,0
67.44,48.00,550.00,83.5,51,7.1,30,12.29,0
61.52,48.00,550.00,84.3,56.4,5.6,29.9,12.29,0
70.57,48.00,550.00,84.2,60.4,5,29.9,12.28,0
70.92,48.00,550.00,85.3,64.6,7.8,29.9,12.37,0
72.94,48.00,550.00,84.5,71.6,7.8,29.9,12.37,0
82.94,48.00,550.00,85.7,68.1,7.9,29.9,12.38,0
73.73,48.00,550.00,83.5,74.2,7,29.9,12.39,0
77.89,48.00,550.00,85.3,71.2,5.4,29.8,12.38,0
74.46,48.00,550.00,86,68.8,6.5,29.9,12.39,0
96.07,48.00,550.00,83.4,69.1,9.3,29.9,12.39,0
89.75,48.00,550.00,84.7,67.2,5.3,29.9,12.39,0
73.1,48.00,550.00,85,62.3,4.7,29.8,12.39,0
70.69,48.00,550.00,85.9,65,4.1,29.8,12.40,0
87.63,48.00,550.00,86.3,67,4.4,29.8,12.39,0
82.09,48.00,550.00,86.6,66.3,4.3,29.8,12.40,0
85.44,48.00,550.00,86.2,65.1,6.7,29.9,12.40,0
87.13,48.00,550.00,85.7,61.9,7.5,29.9,12.40,0
87.18,48.00,550.00,87,58.1,4.5,29.9,12.41,0
85.66,48.00,550.00,87.6,60.9,5.6,29.9,12.40,0
84.06,48.00,550.00,86.8,62.3,8.7,29.9,12.41,0
94.62,48.00,550.00,85.2,56.7,8.4,29.9,12.41,0
86.91,48.00,550.00,85.8,60.4,6.1,29.9,12.41,0
77.36,48.00,550.00,85.8,58.8,7.7,29.9,12.41,0
80.05,48.00,550.00,81.7,55.7,11.5,29.9,12.41,0
72.18,48.00,550.00,76.1,54.1,12.5,30,12.41,0
70.19,48.00,550.00,74.3,54.6,8.9,30,12.41,0
57.6,48.00,550.00,75.1,52.2,8.1,30.1,12.41,0
62.37,48.00,550.00,75.8,53,7.3,30,12.41,0
69.34,48.00,550.00,78.2,51.4,7.1,30,12.41,0
69.27,48.00,550.00,79.9,57.7,5.8,30,12.41,0
70.09,48.00,550.00,82.3,56.2,5.8,30,12.40,0
73.46,48.00,550.00,84,56.1,5.5,29.9,12.40,0
65.36,48.00,550.00,84.8,57.2,4.6,29.9,12.40,0
62.09,48.00,550.00,85.8,56.9,5.5,29.9,12.40,0
74.26,48.00,550.00,85.5,68.9,8.2,29.9,12.22,0
86.76,48.00,550.00,85.8,66.8,4.3,29.9,12.22,0
79.58,48.00,550.00,87.1,66.9,4.3,29.8,12.22,0
45.63,48.00,550.00,84.4,77.3,4.6,29.8,12.24,0
62,48.00,550.00,82.7,81.3,3.6,29.8,12.24,0
74.49,48.00,550.00,85.4,73.8,4.8,29.8,12.24,0
65.4,48.00,550.00,82,83.2,4.7,29.9,12.26,0
31.76,48.00,550.00,84.6,73.7,4.3,29.8,12.26,0
37.43,48.00,550.00,83,81.4,5.3,29.8,12.27,0
43.39,48.00,550.00,84.1,80.5,5.2,29.9,12.27,0
48.33,48.00,550.00,84,82.5,5.4,29.9,12.27,0
71.85,48.00,550.00,83.7,79.4,6.7,29.9,12.29,0
87.97,48.00,550.00,85.5,72.4,5.9,29.9,12.29,0
83.55,48.00,550.00,85.8,70.1,9.2,29.9,12.30,0
81.51,48.00,550.00,85.3,68.8,8.3,29.9,12.30,0
64.78,48.00,550.00,85.1,68.8,9.5,29.9,12.30,0
64.99,48.00,550.00,80.9,60.3,12.9,30,12.31,0
62.37,48.00,550.00,78.8,51.4,10.4,30,12.31,0
65.82,48.00,550.00,78.7,56.3,8.5,30,12.32,0
62.6,48.00,550.00,79.2,59.6,6.8,29.9,12.32,0
66.26,48.00,550.00,81.5,60.4,5.8,29.9,12.33,0
69.77,48.00,550.00,82.8,63.1,5.7,29.8,12.33,0
86.8,48.00,550.00,83.7,60.7,5.9,29.8,12.34,0
90.74,48.00,550.00,83.5,62.7,7.6,29.9,12.34,0
56.6,48.00,550.00,82.4,58.1,8.3,29.9,12.35,0
74.91,48.00,550.00,84.3,61.5,6.6,29.9,12.35,0
82.43,48.00,550.00,84,65.2,10.7,29.9,12.36,0
86.92,48.00,550.00,82,54.9,10.7,29.9,12.36,0
69.77,48.00,550.00,80.9,60.5,6.1,29.9,12.37,0
74.58,48.00,550.00,84.4,59,7,29.9,12.36,0
85.08,48.00,550.00,85.3,70.5,4.8,29.8,11.59,0
73.02,48.00,550.00,84.9,69.9,4.1,29.8,12.00,0
64.12,48.00,550.00,83.6,74.8,5.6,29.8,12.01,0
55.46,48.00,550.00,81.8,79.5,3.2,29.8,12.01,0
58.51,48.00,550.00,83.1,79.7,5,29.8,12.02,0
40.67,48.00,550.00,83.3,80.5,6.1,29.8,12.03,0
46.32,48.00,550.00,84.1,77.1,6,29.8,12.04,0
58.54,48.00,550.00,83.7,75.8,5.4,29.8,12.04,0
72.2,48.00,550.00,85,70.9,4.6,29.8,12.06,0
50.46,48.00,550.00,81.8,81.4,3.7,29.8,12.06,0
70.42,48.00,550.00,82.5,82.1,5.5,29.9,12.07,0
82.09,48.00,550.00,85.6,70.5,5.3,29.9,12.08,0
65.91,48.00,550.00,86.3,73.5,4.8,29.9,12.08,0
77.13,48.00,550.00,87,65.4,5,29.8,12.09,0
84.09,48.00,550.00,88.1,70.2,5.7,29.8,12.10,0
64.81,48.00,550.00,85.5,72.8,5.5,29.8,12.10,0
81.23,48.00,550.00,87.2,59.7,7,29.8,12.12,0
54.13,48.00,550.00,85,73.7,5.5,29.8,12.12,0
53.28,48.00,550.00,83.9,73.5,4.6,29.8,12.13,0
68.02,48.00,550.00,87,67.4,4.5,29.8,12.13,0
57.02,48.00,550.00,81.5,78.8,5.9,29.9,12.14,0
84.54,48.00,550.00,83.9,74.9,6.2,29.9,12.14,0
73.95,48.00,550.00,86.3,63.1,4.8,29.9,12.16,0
79.89,48.00,550.00,86.2,67.1,4.6,29.9,12.16,0
81.49,48.00,550.00,85.5,68.7,5.3,29.9,12.17,0
74.49,48.00,550.00,85.8,68.7,5.9,29.8,12.17,0
57.94,48.00,550.00,85.9,69.4,6.2,29.8,12.18,0
50.48,48.00,550.00,85.4,74.1,5.6,29.8,12.19,0
61.98,48.00,550.00,84.5,76.7,5.8,29.8,12.20,0
56.71,48.00,550.00,83.9,79.4,6.8,29.8,12.20,0
74.81,48.00,550.00,84.8,73.3,7.5,29.9,12.21,0
86.9,48.00,550.00,85.3,73.2,6.3,29.7,11.37,0
66.88,48.00,550.00,87.2,66.8,6.7,29.7,11.37,0
90.84,48.00,550.00,86.3,67.5,7.9,29.6,11.38,0
79.24,48.00,550.00,86.8,67,8.3,29.6,11.39,0
69.38,48.00,550.00,87.7,59,8.6,29.7,11.40,0
72.4,48.00,550.00,86.3,63.2,5.2,29.8,11.40,0
76.47,48.00,550.00,86.9,62.7,5.4,29.8,11.41,0
67.36,48.00,550.00,86.5,61.5,5.1,29.8,11.42,0
70.64,48.00,550.00,85.7,67.3,6.9,29.7,11.42,0
51.49,48.00,550.00,83.9,76.8,8.2,29.7,11.43,0
67.69,48.00,550.00,83.8,73.1,9.7,29.7,11.44,0
66.07,48.00,550.00,84,70.1,9.1,29.8,11.45,0
62.38,48.00,550.00,83.9,71.9,6.3,29.8,11.45,0
78.67,48.00,550.00,83.1,77.5,6.2,29.8,11.46,0
67.34,48.00,550.00,83.9,72.8,7.1,29.7,11.47,0
57.74,48.00,550.00,84.9,66.5,8.3,29.7,11.48,0
87.38,48.00,550.00,84.3,72.8,8.8,29.7,11.48,0
72.3,48.00,550.00,82.7,77.9,5.9,29.8,11.50,0
66.93,48.00,550.00,84.6,74.9,3.5,29.8,11.51,0
84.1,48.00,550.00,86.6,69.7,5.2,29.8,11.51,0
80.93,48.00,550.00,82.6,77.2,6.7,29.8,11.52,0
87.11,48.00,550.00,83.8,72.8,4.2,29.8,11.53,0
56.28,48.00,550.00,83.1,78,4.3,29.8,11.54,0
77.12,48.00,550.00,84.7,74.3,5.5,29.7,11.54,0
68.91,48.00,550.00,85,75.3,4.9,29.7,11.55,0
72.75,48.00,550.00,82.7,78.9,5.7,29.7,11.56,0
61.65,48.00,550.00,82.5,80.8,6.7,29.7,11.57,0
46.35,48.00,550.00,82.2,81.3,10.5,29.7,11.57,0
73.89,48.00,550.00,83.3,75.3,9.4,29.8,11.58,0
52.48,48.00,550.00,83,76,6.2,29.8,11.59,0
61.76,48.00,550.00,86.5,70.5,11.6,29.7,11.16,0
44.92,48.00,550.00,85.5,72.8,9.4,29.7,11.17,0
54.59,48.00,550.00,84.4,75.5,7.3,29.7,11.17,0
53.87,48.00,550.00,85.8,68.5,8.1,29.8,11.18,0
82.88,48.00,550.00,86,65.7,8.8,29.8,11.19,0
58.09,48.00,550.00,86.7,64.8,8.9,29.8,11.19,0
66.04,48.00,550.00,86.6,65.2,8.4,29.7,11.20,0
62.45,48.00,550.00,86.4,66.1,8.9,29.8,11.20,0
72.32,48.00,550.00,86.4,66.3,8.3,29.8,11.21,0
75.07,48.00,550.00,86.6,65.5,7,29.8,11.22,0
78.63,48.00,550.00,87.7,62,7.7,29.8,11.22,0
76.62,48.00,550.00,86.2,67,7,29.7,11.23,0
74.41,48.00,550.00,87.2,66.5,7.2,29.7,11.23,0
75.46,48.00,550.00,87.4,66.7,7.5,29.7,11.24,0
60.91,48.00,550.00,86,65.1,7.8,29.7,11.24,0
80.19,48.00,550.00,86.4,64,6.3,29.8,11.26,0
82.56,48.00,550.00,85.2,63.6,7.5,29.8,11.26,0
84.76,48.00,550.00,87,63,8.1,29.7,11.27,0
70.3,48.00,550.00,89.2,56.5,7.7,29.7,11.28,0
61.91,48.00,550.00,86.5,64.2,8.3,29.7,11.28,0
77.13,48.00,550.00,83.8,75.2,7.5,29.7,11.29,0
70.19,48.00,550.00,84.8,73.7,6.2,29.8,11.29,0
42.41,48.00,550.00,84.2,73.4,5.9,29.7,11.30,0
44.58,48.00,550.00,84.1,72.1,6.5,29.7,11.31,0
70.09,48.00,550.00,85,68.2,6.5,29.8,11.32,0
68.68,48.00,550.00,85.4,69.9,7.3,29.8,11.33,0
81.73,48.00,550.00,87.6,59.4,6.3,29.7,11.33,0
90.33,48.00,550.00,87.7,59.4,8.5,29.7,11.34,0
65.86,48.00,550.00,86.6,62.5,7.9,29.7,11.35,0
59.12,48.00,550.00,86.9,65.5,6.8,29.7,11.35,0
83.02,48.00,550.00,84.8,73.2,6.3,29.7,11.36,0
48.79,48.00,550.00,86.6,72.6,8.9,29.7,11.05,0
71.69,48.00,550.00,85.8,71,10.1,29.7,11.05,0
73.68,48.00,550.00,85.8,70.2,9.4,29.8,11.05,0
48.22,48.00,550.00,85.6,67.7,6.8,29.8,11.05,0
64.67,48.00,550.00,83.9,74.9,4.4,29.8,11.06,0
70.76,48.00,550.00,86.3,66.7,4.4,29.8,11.06,0
76.96,48.00,550.00,88.9,62.5,7.3,29.8,11.06,0
79.65,48.00,550.00,86.4,71.5,8.9,29.8,11.06,0
57.1,48.00,550.00,82.3,82,6.1,29.8,11.06,0
75.29,48.00,550.00,83.6,75.7,8.8,29.8,11.06,0
81.56,48.00,550.00,85.1,73.7,7.3,29.8,11.06,0
70.89,48.00,550.00,86.8,68.7,5.3,29.8,11.08,0
89.89,48.00,550.00,88.3,63.1,6.8,29.8,11.08,0
100.55,48.00,550.00,88.7,57.5,8.3,29.8,11.08,0
88.87,48.00,550.00,88.5,55.3,8.7,29.7,11.09,0
64.71,48.00,550.00,87.8,57.1,9.3,29.7,11.09,0
83.04,48.00,550.00,87.1,56.9,11.1,29.6,11.09,0
68.74,48.00,550.00,86.7,55.9,8.9,29.6,11.09,0
77.35,48.00,550.00,87.1,55.7,8.5,29.6,11.10,0
71.89,48.00,550.00,84.6,67.3,6,29.7,11.10,0
75.21,48.00,550.00,84.5,73.7,7.3,29.7,11.10,0
58.92,48.00,550.00,82.9,79.3,5.8,29.8,11.12,0
59.15,48.00,550.00,82.3,81.1,5.3,29.8,11.12,0
98.81,48.00,550.00,84.2,72.8,6.2,29.7,11.12,0
86.56,48.00,550.00,86.2,64.5,7.5,29.7,11.12,0
98.26,48.00,550.00,87,60.4,8.2,29.8,11.14,0
91.02,48.00,550.00,89,53.1,11,29.7,11.14,0
92.94,48.00,550.00,88,55.3,10.7,29.7,11.14,0
80.05,48.00,550.00,87.3,60,8.3,29.6,11.14,0
52.28,48.00,550.00,85.8,67.8,8.7,29.7,11.16,0
72.86,48.00,550.00,85.5,71.2,11,29.7,11.16,0
88.48,48.00,550.00,89.1,61.1,8.9,29.7,11.07,0
97.58,48.00,550.00,89.2,61.4,8.1,29.7,11.07,0
98.77,48.00,550.00,88.9,62,8.1,29.7,11.07,0
93.76,48.00,550.00,88.7,64.5,9.4,29.7,11.06,0
83.42,48.00,550.00,88.8,60.1,7.9,29.7,11.06,0
83.22,48.00,550.00,86.9,65.9,9,29.7,11.06,0
77.9,48.00,550.00,86.4,68.5,11.7,29.7,11.05,0
74.83,48.00,550.00,83.6,73.4,9.3,29.7,11.05,0
45.37,48.00,550.00,85.4,68.8,9.5,29.7,11.05,0
66.28,48.00,550.00,86.1,68.6,9.7,29.7,11.05,0
85.69,48.00,550.00,85.8,67.6,11.2,29.7,11.04,0
72.01,48.00,550.00,85.2,67,11.6,29.7,11.05,0
64.71,48.00,550.00,85.5,69.8,11.6,29.7,11.05,0
77.93,48.00,550.00,85.7,68.8,9.9,29.8,11.04,0
70.48,48.00,550.00,86.2,69.6,9.2,29.7,11.04,0
61.28,48.00,550.00,87.1,66.9,10.7,29.7,11.04,0
63.48,48.00,550.00,87,68.9,9.5,29.7,11.04,0
56.03,48.00,550.00,85,73.3,8.6,29.8,11.04,0
77.68,48.00,550.00,84.7,73.6,6.6,29.8,11.04,0
59.12,48.00,550.00,87.4,66.7,8.9,29.7,11.04,0
98.71,48.00,550.00,87.7,66.8,8.1,29.8,11.04,0
78.69,48.00,550.00,84.6,73.8,6.7,29.8,11.03,0
110.07,48.00,550.00,89.4,62.1,7.7,29.7,11.04,0
85.02,48.00,550.00,89.1,56.8,8.6,29.7,11.04,0
84.56,48.00,550.00,88,58.9,7.8,29.7,11.04,0
83,48.00,550.00,87.7,58.2,9,29.7,11.04,0
89.33,48.00,550.00,87.6,60.6,6.5,29.7,11.05,0
79.33,48.00,550.00,88.4,61.6,5.8,29.7,11.04,0
93.56,48.00,550.00,88.3,64.8,7.3,29.7,11.04,0
62.65,48.00,550.00,86.8,70,7.6,29.7,11.04,0
85.55,48.00,550.00,86.8,65.7,5.5,29.8,11.23,0
68.34,48.00,550.00,87.9,68.9,7.3,29.8,11.22,0
95.08,48.00,550.00,89.1,63.1,9.3,29.8,11.21,0
104.23,48.00,550.00,89.2,65,10.4,29.7,11.21,0
82.63,48.00,550.00,90.8,64.3,10.3,29.7,11.21,0
104.41,48.00,550.00,92.1,59.4,9.5,29.6,11.20,0
101.68,48.00,550.00,92.9,57.6,10.4,29.6,11.19,0
92.77,48.00,550.00,90.1,64.1,9.9,29.7,11.18,0
99.75,48.00,550.00,87.7,65.2,8,29.7,11.18,0
89.75,48.00,550.00,83.7,74.8,5.4,29.8,11.18,0
59.57,48.00,550.00,86.9,69.6,5.5,29.8,11.16,0
90.77,48.00,550.00,88.5,62.7,9.9,29.8,11.16,0
85.7,48.00,550.00,87.1,66.3,8.4,29.8,11.16,0
93.52,48.00,550.00,89.1,59.1,10.9,29.8,11.16,0
103.28,48.00,550.00,88.7,64,8.3,29.8,11.14,0
85.86,48.00,550.00,88.3,60.3,6.8,29.8,11.14,0
95.13,48.00,550.00,90.1,56.9,7.3,29.8,11.14,0
102.66,48.00,550.00,91.6,54.6,8.9,29.8,11.13,0
97.63,48.00,550.00,91.7,52.6,8,29.7,11.12,0
98.29,48.00,550.00,91.1,51.2,8.2,29.7,11.12,0
91.28,48.00,550.00,91.7,54.2,8.5,29.7,11.12,0
77.25,48.00,550.00,90.5,59.6,10.1,29.8,11.11,0
89.91,48.00,550.00,89.8,56.3,7.6,29.8,11.11,0
88.95,48.00,550.00,88.8,61.3,7.4,29.8,11.11,0
93.05,48.00,550.00,87.7,63.1,8.3,29.8,11.09,0
94.01,48.00,550.00,90.6,57,7.3,29.8,11.09,0
89.74,48.00,550.00,88.8,62.5,7,29.7,11.09,0
64.48,48.00,550.00,86,67.1,5.9,29.7,11.08,0
67.92,48.00,550.00,83.4,75.1,4.9,29.7,11.08,0
64.73,48.00,550.00,85.4,72.9,4.8,29.7,11.08,0
81.26,48.00,550.00,87,70.7,7.6,29.7,11.08,0
106.44,48.00,550.00,87.3,65.3,13,29.8,11.45,0
95.87,48.00,550.00,86.6,66.8,12.7,29.8,11.44,0
104.34,48.00,550.00,88.3,59,10.2,29.7,11.43,0
103.08,48.00,550.00,88.2,61.4,11,29.7,11.42,0
95.84,48.00,550.00,88,56.9,8.1,29.7,11.41,0
96.83,48.00,550.00,88.7,63.8,8.5,29.8,11.41,0
53.86,48.00,550.00,85.8,68.2,8.3,29.8,11.40,0
86.84,48.00,550.00,87.1,65.2,7.9,29.9,11.39,0
101.55,48.00,550.00,87.1,67.2,8.6,29.9,11.39,0
103.5,48.00,550.00,88.1,65.3,11.2,29.8,11.38,0
100.66,48.00,550.00,88.8,66.6,10.8,29.8,11.37,0
94.32,48.00,550.00,88.8,69.8,11.7,29.8,11.37,0
95.32,48.00,550.00,89.7,64.2,9.6,29.7,11.36,0
88.56,48.00,550.00,89.5,62.6,9.3,29.7,11.34,0
93.12,48.00,550.00,89.3,64.3,9.1,29.7,11.34,0
64.29,48.00,550.00,86.8,68,9.8,29.7,11.33,0
92.79,48.00,550.00,88.9,61,8.8,29.8,11.33,0
87.09,48.00,550.00,88.7,66.1,11.1,29.8,11.32,0
83.28,48.00,550.00,89.4,66.4,11.1,29.7,11.31,0
94.89,48.00,550.00,91,55.6,10.2,29.6,11.31,0
99.29,48.00,550.00,90.9,56.5,8.5,29.6,11.29,0
87.17,48.00,550.00,91,59.6,9.1,29.7,11.29,0
100,48.00,550.00,90.1,62.5,11.5,29.7,11.28,0
87.99,48.00,550.00,90,61.3,7,29.8,11.28,0
64.95,48.00,550.00,87.7,66.8,7.8,29.8,11.27,0
48.76,48.00,550.00,80.5,79.8,5.8,29.8,11.27,0
70.29,48.00,550.00,86.4,67.5,4.6,29.8,11.25,0
62.81,48.00,550.00,87.9,67,7,29.8,11.25,0
94.2,48.00,550.00,89.4,64.8,9.2,29.7,11.24,0
44.11,48.00,550.00,82.8,75.3,7.8,29.8,11.24,0
107.54,48.00,550.00,84.3,50.5,5,5,12.08,0
105.59,48.00,550.00,86.6,45.3,7.8,7.8,12.08,0
105.71,48.00,550.00,83.8,47.1,7.5,7.5,12.07,0
106.92,48.00,550.00,82.5,50.4,7.9,7.9,12.06,0
103.25,48.00,550.00,82.7,50.3,7,7,12.05,0
102.31,48.00,550.00,83.4,54.1,5.4,5.4,12.04,0
99.9,48.00,550.00,83.9,58,4.1,4.1,12.04,0
100.35,48.00,550.00,84.8,65.4,5.4,5.4,12.03,0
90.96,48.00,550.00,84.6,68.7,7.1,7.1,12.02,0
93.65,48.00,550.00,84.8,68.4,6,6,12.02,0
82.29,48.00,550.00,84.2,71.1,9.2,9.2,12.01,0
76.46,48.00,550.00,84.5,70.3,8.7,8.7,12.00,0
81.28,48.00,550.00,82.5,65.8,8.7,8.7,11.59,0
98.31,48.00,550.00,83.2,58.1,6.9,6.9,11.58,0
91.01,48.00,550.00,81.5,70.9,3.2,3.2,11.57,0
94.96,48.00,550.00,85.4,64.8,10.4,10.4,11.57,0
95.92,48.00,550.00,84.5,67.6,9.5,9.5,11.56,0
98.1,48.00,550.00,84.5,68.8,8.8,8.8,11.55,0
93.44,48.00,550.00,84.8,69.1,11,11,11.55,0
103.65,48.00,550.00,85.3,68.6,10.7,10.7,11.54,0
108.71,48.00,550.00,85.3,69.9,11.8,11.8,11.53,0
103.47,48.00,550.00,85.7,70.4,11.4,11.4,11.52,0
106.32,48.00,550.00,86.3,68.1,12,12,11.51,0
108.44,48.00,550.00,85.8,72,10.5,10.5,11.50,0
106.84,48.00,550.00,86.3,70.2,10.9,10.9,11.50,0
109.06,48.00,550.00,86.6,68.3,11.4,11.4,11.49,0
106.1,48.00,550.00,86.4,67.5,10.8,10.8,11.48,0
102.7,48.00,550.00,86.2,67,12.5,12.5,11.48,0
110.51,48.00,550.00,86.2,63.3,9.5,9.5,11.47,0
96.15,48.00,550.00,84.8,70.3,10,10,11.46,0
105.13,48.00,550.00,87.2,66.7,12.2,12.2,11.46,0
89.24,48.00,550.00,79.7,51,3.9,29.8,12.28,0
91.3,48.00,550.00,83.3,59.8,4.2,29.8,12.27,0
54.56,48.00,550.00,83.8,65.8,6.4,29.8,12.26,0
64.09,48.00,550.00,83.9,71.3,6.7,29.8,12.25,0
67.26,48.00,550.00,83.9,67.8,5.8,29.8,12.25,0
84.2,48.00,550.00,84.1,70.1,8.7,29.8,12.25,0
97.57,48.00,550.00,83.8,68.3,9.6,29.8,12.23,0
104.33,48.00,550.00,84.3,67.6,7.9,29.8,12.23,0
96.37,48.00,550.00,84,70.2,10,29.8,12.22,0
99.91,48.00,550.00,84.1,68.3,8.9,29.8,12.22,0
105.52,48.00,550.00,84.9,64.3,9.7,29.8,12.21,0
105.85,48.00,550.00,84.5,66.9,10.3,29.8,12.20,0
104.27,48.00,550.00,84.3,68.7,8.9,29.8,12.20,0
101.81,48.00,550.00,84.9,69.2,7.7,29.8,12.19,0
17.27,48.00,550.00,78.9,86.2,6.4,29.9,12.18,0
81.72,48.00,550.00,79.6,74.4,7.7,29.9,12.17,0
83.09,48.00,550.00,80.4,64.4,7.8,29.9,12.17,0
100.54,48.00,550.00,82.1,56.6,5.8,29.9,12.17,0
101.46,48.00,550.00,84.2,56.9,5,29.9,12.15,0
107.75,48.00,550.00,83.8,54.5,7.8,29.9,12.15,0
107.59,48.00,550.00,83.3,56.2,6.6,29.9,12.14,0
108.58,48.00,550.00,83.9,53.4,7.4,29.9,12.14,0
100.18,48.00,550.00,84.5,48.3,5.1,29.9,12.12,0
105.53,48.00,550.00,85.5,47.8,6.4,29.8,12.12,0
109.24,48.00,550.00,82.8,49,11.8,29.9,12.11,0
111.47,48.00,550.00,79.3,49.4,13.1,30,12.11,0
107.49,48.00,550.00,78.3,53.3,9,30,12.09,0
105.21,48.00,550.00,81.3,52.3,5.4,30,12.09,0
104.09,48.00,550.00,76.7,58.5,7.8,30,12.40,0
89.28,48.00,550.00,77.6,58.5,5.8,30,12.40,0
70.66,48.00,550.00,80.1,60.7,6.6,30,12.40,0
102.45,48.00,550.00,81.9,56.9,5.5,29.9,12.39,0
93.81,48.00,550.00,81.4,57,6.8,29.9,12.39,0
89.32,48.00,550.00,80.4,56,12.1,29.9,12.39,0
78.76,48.00,550.00,78,51.7,9.4,29.9,12.39,0
71.96,48.00,550.00,80.4,50.5,6.1,29.9,12.38,0
76.54,48.00,550.00,82.5,53.2,6.4,29.9,12.38,0
93.42,48.00,550.00,82.8,63.3,7.6,29.9,12.38,0
40.26,48.00,550.00,78.7,76.9,8,29.9,12.37,0
70.27,48.00,550.00,80.6,73.3,5.5,29.8,12.37,0
70.95,48.00,550.00,82.3,72.5,6,29.9,12.36,0
84.04,48.00,550.00,82.7,70.9,6.5,29.8,12.37,0
100.48,48.00,550.00,82.6,64.4,4.7,29.8,12.36,0
88.73,48.00,550.00,82,64.4,5.2,29.8,12.36,0
95.42,48.00,550.00,82.1,62.6,5.8,29.9,12.35,0
102.45,48.00,550.00,81.5,57,9.7,29.9,12.35,0
97.1,48.00,550.00,79.9,52.3,7.9,29.9,12.34,0
98.35,48.00,550.00,79.7,55.7,6.9,29.9,12.33,0
102.38,48.00,550.00,81.2,50.3,6.5,29.9,12.33,0
102.39,48.00,550.00,80.6,49.9,4.6,29.8,12.32,0
100.83,48.00,550.00,82.6,49.1,4.8,29.8,12.32,0
91.21,48.00,550.00,83,52,10.8,29.8,12.31,0
104.51,48.00,550.00,76.2,51,11.8,29.9,12.31,0
99.56,48.00,550.00,79.2,48.6,4.8,29.9,12.30,0
84.26,48.00,550.00,81.1,51.5,7.7,29.9,12.30,0
92.95,48.00,550.00,77.1,54.1,12.3,29.9,12.29,0
100.97,48.00,550.00,74.5,50.3,11.5,29.9,12.29,0
105.02,48.00,550.00,73.3,49.5,6.9,29.9,12.28,0
99.74,48.00,550.00,77.6,45.1,4.1,29.9,12.28,0
88.94,48.00,550.00,84.3,74.8,5.9,29.8,12.37,0
81.69,48.00,550.00,84.5,74.6,6.7,29.8,12.38,0
100.48,48.00,550.00,82.6,68.7,6.6,29.8,12.38,0
94.92,48.00,550.00,84.2,70.3,7.5,29.8,12.39,0
100.36,48.00,550.00,84.4,68.9,9.4,29.8,12.38,0
102.52,48.00,550.00,83.1,67.7,8.8,29.8,12.39,0
97.69,48.00,550.00,83.3,63,6.3,29.8,12.39,0
84.91,48.00,550.00,83,65,5.2,29.8,12.39,0
94.99,48.00,550.00,84.8,66.2,4.1,29.8,12.39,0
91.61,48.00,550.00,84.8,64.4,4.5,29.8,12.40,0
94.96,48.00,550.00,84,58.3,6.8,29.8,12.40,0
100.01,48.00,550.00,82.2,62.1,8.1,29.8,12.40,0
